Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,18.031601,18.250099,17.963200,18.068001,12.447648,10014664
2011-01-04,18.077101,18.318399,18.031601,18.213699,12.548030,12685182
2011-01-05,18.122601,18.509701,18.004200,18.486900,12.736247,12143831
2011-01-06,18.400400,18.436800,18.031601,18.049801,12.435113,17066721
2011-01-07,18.013300,18.149900,17.512501,17.608101,12.130811,15259729
2011-01-10,17.512501,17.749201,17.293900,17.749201,12.228018,10494522
2011-01-11,17.876699,18.013300,17.803900,17.858500,12.303316,12173918
2011-01-12,18.027000,18.327499,17.958700,18.327499,12.626429,12297781
2011-01-13,18.395800,18.409500,18.086201,18.240999,12.566834,8709272
2011-01-14,17.940500,18.118099,17.849400,18.036100,12.425671,11122182
2011-01-17,17.963200,17.963200,17.758400,17.781099,12.249996,6860992
2011-01-18,17.895000,17.895000,17.489700,17.553400,12.093124,20182619
2011-01-19,17.585300,17.649099,17.302999,17.362200,11.961400,15660526
2011-01-20,17.302999,17.325800,16.843100,16.938700,11.669637,26342160
2011-01-21,16.988800,17.166401,16.847700,16.943300,11.672803,13275946
2011-01-24,16.966000,17.075300,16.916000,17.066200,11.757479,7017578
2011-01-26,17.048000,17.157301,16.824900,16.824900,11.591234,10075497
2011-01-27,16.938700,16.993401,16.355900,16.893200,11.638288,16356047
2011-01-28,16.802099,16.870399,16.173800,16.524401,11.384207,21233037
2011-01-31,16.565300,16.647301,16.164600,16.205601,11.164577,16311685
2011-02-01,16.323999,16.487900,16.287600,16.437901,11.333008,15362069
2011-02-02,16.465200,16.642799,16.228399,16.283001,11.226215,16844251
2011-02-03,16.292200,16.292200,16.028000,16.114599,11.110111,10454333
2011-02-04,16.073601,16.078100,15.559000,15.668300,10.802411,22155640
2011-02-07,15.773100,15.886900,15.563600,15.827700,10.912313,12931370
2011-02-08,15.745700,16.492500,15.723000,16.301300,11.238834,15982701
2011-02-09,16.219299,16.392300,15.850500,15.918800,10.975122,13957851
2011-02-10,15.891400,16.087200,15.800400,15.827700,10.912313,17567882
2011-02-11,15.927900,16.474300,15.773100,16.442400,11.336115,16020914
2011-02-14,16.369600,16.697399,16.323999,16.565300,11.420844,10894222
2011-02-15,16.501600,16.893200,16.365000,16.856800,11.621817,18067067
2011-02-16,16.884100,17.243799,16.884100,17.234699,11.882360,20818624
2011-02-17,17.243799,17.480600,17.075300,17.398600,11.995363,20869135
2011-02-18,17.302999,17.466900,17.234699,17.321199,11.941995,10707329
2011-02-21,17.293900,17.293900,17.007000,17.052601,11.756815,7595824
2011-02-22,16.984301,17.120899,16.460600,16.679199,11.499372,22225477
2011-02-23,16.756599,16.847700,16.451500,16.761200,11.555909,19153063
2011-02-24,16.834000,17.120899,16.415100,16.606300,11.449111,25611062
2011-02-25,16.706499,16.847700,16.242100,16.533501,11.398922,20746809
2011-02-28,16.620001,16.879499,16.533501,16.847700,11.615547,21685224
2011-03-01,16.856800,16.938700,16.447001,16.483400,11.372482,11135798
2011-03-02,16.415100,16.642799,16.415100,16.542601,11.413325,15035063
2011-03-03,16.615400,16.997900,16.556200,16.947800,11.692888,11058494
2011-03-04,16.852200,17.098101,16.720200,17.002501,11.730625,9293448
2011-03-09,16.642799,16.847700,16.442400,16.487900,11.375584,6427033
2011-03-10,16.164600,16.164600,15.855000,15.855000,10.938923,24182247
2011-03-11,15.800400,16.246599,15.732100,16.246599,11.209104,21809966
2011-03-14,16.137300,16.392300,16.050800,16.323999,11.262503,11318298
2011-03-15,15.886900,16.528900,15.850500,16.519800,11.397592,16735761
2011-03-16,16.574499,16.592699,15.877800,16.128201,11.127415,19152624
2011-03-17,16.278500,16.323999,15.914200,16.041700,11.067736,15687539
2011-03-18,16.119101,16.428699,16.105499,16.383200,11.303347,13856608
2011-03-21,16.506201,16.528900,16.346800,16.387800,11.306523,7765806
