date, pm25, pm10, o3, no2, so2, co
2019/12/27, 42, 23, , 9, , 2
2019/12/28, 53, 24, 51, 7, , 3
2019/12/29, 50, 15, 39, 6, , 2
2019/12/30, 51, , , , , 
2019/7/2, 66, 46, 20, 30, 1, 10
2019/7/3, 88, 50, 20, 29, 2, 7
2019/7/4, 82, 13, 4, 14, , 6
2019/7/5, 47, 10, 8, 17, , 4
2019/7/6, 23, 14, 16, 13, , 3
2019/7/7, 40, 16, 20, 9, , 3
2019/7/8, 49, 18, 15, 17, 1, 3
2019/7/9, 48, 24, 22, 17, 1, 4
2019/7/10, 68, 38, 13, 29, 1, 11
2019/7/11, 90, 47, 19, 37, 1, 14
2019/7/12, 107, 54, 18, 42, 1, 17
2019/7/13, 118, 53, , 33, 1, 13
2019/7/14, 113, 50, , 24, 1, 12
2019/7/15, 116, 29, , 21, 1, 7
2019/7/16, 90, 14, 12, 15, , 3
2019/7/17, 44, 19, 12, 13, 1, 2
2019/7/18, 42, 17, 17, 15, 1, 2
2019/7/19, 41, 25, 15, 21, , 5
2019/7/20, 62, 36, 22, 22, , 8
2019/7/21, 75, 30, 21, 16, , 8
2019/7/22, 87, 27, 17, 22, 1, 8
2019/7/23, 55, 41, 18, 32, 1, 13
2019/7/24, 87, 48, 21, 38, 1, 13
2019/7/25, 106, 43, 26, 31, 2, 10
2019/7/26, 97, 31, 21, 23, 1, 6
2019/7/27, 78, 52, 34, 25, 1, 10
2019/7/28, 62, 27, 30, 6, , 2
2019/7/29, 44, 29, 26, 16, 1, 3
2019/7/30, 59, 34, 17, 24, 1, 5
2019/7/31, 66, 23, 19, 29, 1, 7
2019/8/1, 57, 39, 20, 33, 1, 11
2019/8/2, 76, 48, 23, 25, 1, 13
2019/8/3, 85, 11, 17, 4, , 2
2019/8/4, 19, 15, 19, 2, , 1
2019/8/5, 25, 13, 17, 12, , 2
2019/8/6, 23, 24, 17, 20, 1, 4
2019/8/7, 48, 30, 12, 22, 1, 10
2019/8/8, 57, 34, 22, 26, 1, 12
2019/8/9, 66, 44, 23, 32, 2, 15
2019/8/10, 99, 54, , 28, 1, 23
2019/8/11, 88, 25, 31, 9, , 5
2019/8/12, 72, 36, 24, 27, 1, 9
2019/8/13, 60, 38, 12, 27, 1, 11
2019/8/14, 85, 11, 19, 9, , 2
2019/8/15, 11, 17, 21, 13, 1, 2
2019/8/16, 35, 29, 18, 27, 1, 6
2019/8/17, 58, 39, 28, 25, 1, 8
2019/8/18, 70, 36, 34, 20, , 7
2019/8/19, 68, 13, 23, 12, , 2
2019/8/20, 29, 6, 12, 13, , 2
2019/8/21, 14, 11, 15, 13, , 2
2019/8/22, 25, 10, 17, 11, , 2
2019/8/23, 22, 16, 16, 14, , 3
2019/8/24, 24, 11, 21, 8, , 2
2019/8/25, 24, 13, 24, 5, , 1
2019/8/26, 24, 21, 26, 14, 1, 5
2019/8/27, 46, 34, 27, 18, 1, 3
2019/8/28, 64, 32, 28, 14, 1, 2
2019/8/29, 55, 36, 32, 24, 1, 5
2019/8/30, 68, 51, 28, 36, 1, 13
2019/8/31, 92, 52, 35, 26, 2, 15
2019/9/1, 88, 17, 17, 13, , 5
2019/9/2, 43, 12, 11, 15, 1, 4
2019/9/3, 30, 28, 4, 24, , 8
2019/9/4, 68, 15, 9, 13, , 4
2019/9/5, 40, 9, 14, 10, , 3
2019/9/6, 13, 17, 13, 12, , 4
2019/9/7, 23, 14, 29, 13, , 5
2019/9/8, 47, , 46, 13, 1, 7
2019/9/9, 57, 29, 28, 20, 1, 7
2019/9/10, 62, 38, 33, 28, 2, 12
2019/9/11, 81, 50, 48, 30, 3, 18
2019/9/12, 102, 50, 33, 25, 2, 13
2019/9/13, 102, 14, 27, 6, , 3
2019/9/14, 37, 13, 24, 4, , 3
2019/9/15, 31, 31, 51, 6, 1, 4
2019/9/16, 68, 38, 48, 14, 1, 7
2019/9/17, 76, 54, 52, 19, 1, 11
2019/9/18, 109, 45, 37, 12, 1, 9
2019/9/19, 86, 38, 34, 7, 1, 5
2019/9/20, 79, 40, 23, 8, , 6
2019/9/21, 95, 4, 14, 2, , 2
2019/9/22, 13, 3, 17, 1, , 1
2019/9/23, 7, 14, 19, 2, , 2
2019/9/24, 23, 23, 22, 4, 1, 3
2019/9/25, 49, 21, 14, 4, , 3
2019/9/26, 53, 19, 10, 5, , 4
2019/9/27, 49, 14, 15, 3, , 4
2019/9/28, 33, 15, 17, 1, , 2
2019/9/29, 33, 16, 35, 1, 1, 2
2019/9/30, 39, 25, 31, 2, 1, 3
2019/10/1, 52, 30, 45, 19, 1, 3
