date, pm25, pm10, o3, no2, so2, co
2019/12/22, 32, , 28, , , 
2019/12/23, 23, , 20, , , 
2019/12/24, 29, , 39, , , 
2019/12/25, 38, , 37, , , 
2019/12/26, 43, , 51, , , 
2019/12/27, 53, , 37, , , 
2019/12/28, 58, , 57, , , 
2019/12/29, 52, , 51, , , 
2019/12/30, 60, , , , , 
2019/7/2, 56, , 34, 25, 1, 
2019/7/3, 81, , 33, 25, 2, 
2019/7/4, 63, , 4, 17, , 
2019/7/5, 43, 12, 8, 14, , 2
2019/7/6, 22, 17, 18, 12, , 2
2019/7/7, 32, 17, 18, 9, , 2
2019/7/8, 48, 18, 13, 17, 1, 4
2019/7/9, 51, 33, 21, 16, 1, 4
2019/7/10, 59, 49, 20, 30, 1, 7
2019/7/11, 71, 66, 32, 35, 1, 20
2019/7/12, 82, , 34, 39, 1, 
2019/7/13, 86, , 39, 41, 1, 
2019/7/14, 101, , 37, 31, 1, 
2019/7/15, 111, 37, 34, 21, 1, 4
2019/7/16, 89, 15, 13, 13, , 2
2019/7/17, 41, 22, 13, 14, 1, 2
2019/7/18, 45, 19, 16, 15, 1, 2
2019/7/19, 48, 29, 22, 22, , 8
2019/7/20, 60, 37, 21, 20, , 7
2019/7/21, 71, 64, 21, 16, , 12
2019/7/22, 70, 45, 21, 22, 1, 
2019/7/23, 43, 51, 25, 25, 1, 
2019/7/24, 68, 51, 34, 32, 1, 
2019/7/25, 88, , 26, 25, 2, 
2019/7/26, 92, 44, 24, 22, 1, 
2019/7/27, 68, 59, 34, 20, 1, 
2019/7/28, 81, , 31, 7, , 
2019/7/29, 56, , 24, 16, 1, 
2019/7/30, 68, , 28, 24, 1, 
2019/7/31, 67, , 29, 30, 1, 
2019/8/1, 59, , 31, 31, 1, 
2019/8/2, 69, , 30, 22, 1, 
2019/8/3, 81, , 18, 8, , 
2019/8/11, 62, 48, 35, 13, , 4
2019/8/12, 70, 47, 37, 24, 1, 7
2019/8/13, 60, 60, 14, 21, 1, 7
2019/8/14, 64, 26, 17, 10, , 2
2019/8/15, 26, 22, 21, 14, 1, 2
2019/8/16, 45, 46, 31, 28, 1, 5
2019/8/17, 66, 72, 33, 23, 1, 8
2019/8/18, 74, , 42, 18, , 
2019/8/19, 79, , 24, 11, , 
2019/8/20, 40, , 11, 13, , 
2019/8/21, 17, , 15, 14, , 
2019/8/25, 38, 18, 23, 6, , 
2019/8/26, 32, 30, 28, 15, 1, 
2019/8/27, 49, 45, 23, 17, 1, 
2019/8/28, 66, 41, 23, 14, 1, 
2019/8/29, 52, 51, 34, 23, 1, 
2019/8/30, 76, 68, 45, 34, 1, 
2019/8/31, 96, , 44, 22, 2, 
2019/9/1, 87, , 13, 15, , 
2019/9/2, 51, , 15, 17, 1, 
2019/9/3, 71, , 7, 26, , 
2019/9/4, 69, , 8, 15, , 
2019/9/5, 55, 16, 12, 12, , 2
2019/9/6, 30, 15, 12, 15, , 3
2019/9/7, 36, 26, 29, 15, , 4
2019/9/8, 52, 44, 40, 16, 1, 5
2019/9/9, 62, 44, 35, 26, 1, 9
2019/9/10, 64, 48, 51, 37, 2, 10
2019/9/11, 86, 61, 61, 43, 3, 10
2019/9/12, 101, 68, 50, 37, 2, 8
2019/9/13, 91, 49, 30, 10, , 2
2019/9/14, 49, 33, 26, 8, , 2
2019/9/15, 42, 43, 49, 11, 1, 4
2019/9/16, 76, 53, 47, 30, 1, 6
2019/9/17, 82, 73, 81, 33, 1, 9
2019/9/18, 115, 70, 56, 25, 1, 7
2019/9/19, 91, 73, 44, 17, 1, 4
2019/9/20, 83, 58, 35, 22, , 
2019/9/21, 98, 30, 15, 8, , 
2019/9/22, 24, 17, 17, 5, , 
2019/9/23, 28, 16, 19, 9, , 
2019/9/24, 32, , 21, 15, 1, 
2019/9/25, 56, , 12, , , 
2019/9/26, 61, , 9, 22, , 
2019/9/27, 61, 21, 18, 13, , 4
2019/9/28, 38, 14, 17, 9, , 1
2019/9/29, 35, 20, 36, 8, 1, 2
2019/9/30, 46, 31, 33, 14, 1, 2
2019/10/1, 53, 38, 56, 18, 1, 3
2019/4/2, 64, 32, 35, 15, 1, 2
2019/4/3, 59, 44, 67, 24, 1, 4
2019/4/4, 78, 51, 61, 27, 2, 5
2019/4/5, 84, 51, 46, 24, 1, 7
2019/4/6, 84, 29, 30, 14, , 
2019/4/7, 56, , 19, 11, , 
2019/4/8, 39, , 12, 15, , 
2019/4/9, 26, , 8, 12, , 
2019/4/10, 31, , 12, 11, , 
2019/4/11, 35, , 32, 16, , 
